BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
3000,1900000767,2025,RE,2025-06-17,2025-06-19,EUR,4500090990
1000,1900000768,2025,RE,2025-08-10,2025-08-11,EUR,4500090591
2000,1900000769,2024,RE,2025-03-12,2025-03-17,AED,4500090981
1000,1900000770,2025,RE,2024-02-04,2024-02-07,USD,4500090761
2000,1900000771,2024,RE,2025-06-12,2025-06-12,EUR,4500091762
2000,1900000772,2024,RE,2025-11-13,2025-11-16,EUR,4500090808
3000,1900000773,2024,RE,2024-12-30,2025-01-02,USD,4500091912
2000,1900000774,2025,RE,2024-11-22,2024-11-27,AED,4500090205
1000,1900000775,2025,RE,2024-12-28,2024-12-28,USD,4500091843
3000,1900000776,2025,RE,2025-05-29,2025-06-02,AED,4500091333
2000,1900000777,2024,RE,2024-08-04,2024-08-06,EUR,4500091082
1000,1900000778,2024,RE,2024-06-01,2024-06-01,EUR,4500091606
1000,1900000779,2025,RE,2024-03-28,2024-03-30,USD,4500090033
3000,1900000780,2024,RE,2024-01-15,2024-01-19,EUR,4500090239
1000,1900000781,2025,RE,2025-10-06,2025-10-09,USD,4500090703
2000,1900000782,2025,RE,2025-03-27,2025-04-01,AED,4500090034
2000,1900000783,2025,RE,2024-12-09,2024-12-13,EUR,4500091785
2000,1900000784,2024,RE,2025-02-19,2025-02-23,AED,4500091282
3000,1900000785,2025,RE,2024-11-11,2024-11-15,AED,4500090635
1000,1900000786,2024,RE,2025-11-25,2025-11-26,EUR,4500091936
3000,1900000787,2024,RE,2024-06-17,2024-06-19,USD,4500090599
3000,1900000788,2025,RE,2024-08-14,2024-08-15,USD,4500090078
1000,1900000789,2024,RE,2025-10-13,2025-10-17,USD,4500090533
3000,1900000790,2025,RE,2024-02-11,2024-02-16,AED,4500091374
2000,1900000791,2025,RE,2025-07-17,2025-07-21,USD,4500091436
3000,1900000792,2024,RE,2025-12-04,2025-12-08,EUR,4500090213
3000,1900000793,2024,RE,2024-03-16,2024-03-19,AED,4500091935
1000,1900000794,2024,RE,2025-02-20,2025-02-24,USD,4500091817
3000,1900000795,2025,RE,2025-07-12,2025-07-14,AED,4500090470
2000,1900000796,2024,RE,2024-02-25,2024-02-25,AED,4500091125
1000,1900000797,2025,RE,2025-01-13,2025-01-16,USD,4500090788
1000,1900000798,2024,RE,2024-05-10,2024-05-13,AED,4500090448
1000,1900000799,2025,RE,2025-08-21,2025-08-23,USD,4500091577
2000,1900000800,2024,RE,2025-07-22,2025-07-22,USD,4500090573
1000,1900000801,2025,RE,2025-10-29,2025-10-30,EUR,4500090954
2000,1900000802,2025,RE,2024-02-07,2024-02-09,EUR,4500090192
3000,1900000803,2025,RE,2024-09-15,2024-09-18,EUR,4500091708
3000,1900000804,2025,RE,2025-01-13,2025-01-14,USD,4500090537
3000,1900000805,2025,RE,2025-10-10,2025-10-11,EUR,4500091397
1000,1900000806,2024,RE,2025-11-20,2025-11-24,EUR,4500090526
3000,1900000807,2025,RE,2025-04-19,2025-04-23,USD,4500091908
1000,1900000808,2024,RE,2024-07-12,2024-07-16,EUR,4500090276
1000,1900000809,2024,RE,2024-06-26,2024-06-29,USD,4500091507
2000,1900000810,2025,RE,2024-05-03,2024-05-05,AED,4500090576
3000,1900000811,2024,RE,2025-12-11,2025-12-11,EUR,4500091631
3000,1900000812,2024,RE,2025-01-29,2025-01-29,USD,4500090666
1000,1900000813,2024,RE,2024-03-31,2024-04-01,EUR,4500091474
1000,1900000814,2025,RE,2025-08-12,2025-08-17,AED,4500090148
2000,1900000815,2024,RE,2024-01-07,2024-01-09,EUR,4500091774
3000,1900000816,2024,RE,2025-06-22,2025-06-23,AED,4500091852
1000,1900000817,2024,RE,2024-07-29,2024-07-31,EUR,4500090309
1000,1900000818,2025,RE,2024-09-11,2024-09-12,USD,4500091084
3000,1900000819,2024,RE,2025-02-23,2025-02-24,AED,4500090499
3000,1900000820,2024,RE,2025-09-21,2025-09-23,EUR,4500090596
1000,1900000821,2024,RE,2025-04-02,2025-04-07,AED,4500091561
1000,1900000822,2025,RE,2024-07-17,2024-07-17,EUR,4500090549
2000,1900000823,2025,RE,2025-02-16,2025-02-19,EUR,4500091774
3000,1900000824,2024,RE,2025-03-08,2025-03-11,AED,4500090470
3000,1900000825,2024,RE,2025-02-10,2025-02-10,EUR,4500090065
3000,1900000826,2024,RE,2024-01-16,2024-01-18,EUR,4500090990
1000,1900000827,2025,RE,2024-08-14,2024-08-15,EUR,4500091135
2000,1900000828,2024,RE,2025-02-16,2025-02-18,AED,4500090032
3000,1900000829,2024,RE,2024-02-29,2024-02-29,USD,4500090867
2000,1900000830,2025,RE,2025-09-21,2025-09-26,AED,4500091713
3000,1900000831,2024,RE,2025-11-15,2025-11-16,EUR,4500090724
2000,1900000832,2024,RE,2024-03-29,2024-03-31,AED,4500090992
1000,1900000833,2024,RE,2025-05-27,2025-05-30,AED,4500091586
1000,1900000834,2024,RE,2025-02-10,2025-02-10,AED,4500090723
1000,1900000835,2025,RE,2025-05-21,2025-05-25,USD,4500090636
1000,1900000836,2025,RE,2025-07-17,2025-07-22,EUR,4500090214
2000,1900000837,2025,RE,2024-09-07,2024-09-09,USD,4500091930
1000,1900000838,2024,RE,2024-03-20,2024-03-22,USD,4500091084
2000,1900000839,2024,RE,2025-09-21,2025-09-25,EUR,4500090808
2000,1900000840,2025,RE,2025-03-08,2025-03-12,AED,4500090376
2000,1900000841,2024,RE,2024-04-05,2024-04-08,USD,4500090439
2000,1900000842,2024,RE,2024-08-19,2024-08-22,EUR,4500090595
3000,1900000843,2025,RE,2024-07-21,2024-07-25,AED,4500090169
1000,1900000844,2024,RE,2025-11-11,2025-11-14,EUR,4500091870
2000,1900000845,2024,RE,2025-10-29,2025-10-31,EUR,4500091295
1000,1900000846,2025,RE,2025-07-01,2025-07-05,AED,4500091277
1000,1900000847,2024,RE,2024-04-30,2024-05-02,EUR,4500090945
2000,1900000848,2024,RE,2025-04-09,2025-04-14,USD,4500090354
2000,1900000849,2024,RE,2025-08-29,2025-09-03,AED,4500090076
2000,1900000850,2025,RE,2025-01-11,2025-01-13,AED,4500091002
1000,1900000851,2025,RE,2025-01-04,2025-01-08,EUR,4500090822
1000,1900000852,2025,RE,2025-08-10,2025-08-11,EUR,4500091667
2000,1900000853,2024,RE,2025-09-05,2025-09-09,AED,4500090443
2000,1900000854,2024,RE,2024-12-10,2024-12-14,USD,4500091327
1000,1900000855,2025,RE,2025-04-20,2025-04-20,AED,4500091790
1000,1900000856,2024,RE,2024-05-28,2024-05-28,USD,4500090236
2000,1900000857,2024,RE,2025-08-24,2025-08-29,EUR,4500091568
1000,1900000858,2024,RE,2025-01-18,2025-01-23,USD,4500090484
2000,1900000859,2024,RE,2025-02-19,2025-02-19,AED,4500090099
3000,1900000860,2024,RE,2025-03-21,2025-03-22,EUR,4500090669
1000,1900000861,2025,RE,2024-03-20,2024-03-23,EUR,4500091406
2000,1900000862,2025,RE,2024-08-20,2024-08-21,EUR,4500090816
1000,1900000863,2025,RE,2024-06-08,2024-06-09,AED,4500091851
2000,1900000864,2024,RE,2025-09-08,2025-09-12,EUR,4500091415
2000,1900000865,2025,RE,2025-09-10,2025-09-15,USD,4500090684
1000,1900000866,2025,RE,2024-12-06,2024-12-09,EUR,4500090011
1000,1900000867,2025,RE,2024-08-19,2024-08-21,EUR,4500090322
1000,1900000868,2024,RE,2024-09-27,2024-09-27,AED,4500090488
3000,1900000869,2025,RE,2025-06-23,2025-06-26,AED,4500091651
2000,1900000870,2024,RE,2025-03-09,2025-03-09,AED,4500090848
1000,1900000871,2024,RE,2025-03-30,2025-04-01,USD,4500091809
3000,1900000872,2024,RE,2025-05-25,2025-05-27,AED,4500090752
3000,1900000873,2025,RE,2025-09-24,2025-09-27,EUR,4500091768
1000,1900000874,2025,RE,2024-11-19,2024-11-23,USD,4500090806
1000,1900000875,2025,RE,2024-09-12,2024-09-12,USD,4500091670
2000,1900000876,2024,RE,2024-06-15,2024-06-20,AED,4500090191
2000,1900000877,2025,RE,2024-11-08,2024-11-11,EUR,4500090638
2000,1900000878,2024,RE,2025-04-26,2025-05-01,EUR,4500090908
1000,1900000879,2025,RE,2024-11-13,2024-11-15,USD,4500090823
1000,1900000880,2024,RE,2024-05-05,2024-05-10,EUR,4500090393
2000,1900000881,2025,RE,2024-04-01,2024-04-04,EUR,4500090825
2000,1900000882,2024,RE,2024-05-08,2024-05-11,USD,4500090232
1000,1900000883,2025,RE,2025-10-08,2025-10-13,EUR,4500091361
2000,1900000884,2024,RE,2025-08-24,2025-08-27,EUR,4500091975
3000,1900000885,2024,RE,2024-03-06,2024-03-11,USD,4500090062
1000,1900000886,2024,RE,2025-02-12,2025-02-17,USD,4500091752
3000,1900000887,2025,RE,2024-10-24,2024-10-24,EUR,4500091679
1000,1900000888,2025,RE,2024-11-06,2024-11-11,AED,4500091561
3000,1900000889,2025,RE,2024-11-20,2024-11-22,AED,4500091799
2000,1900000890,2025,RE,2024-05-29,2024-05-30,AED,4500091862
1000,1900000891,2025,RE,2024-03-22,2024-03-25,EUR,4500090258
2000,1900000892,2025,RE,2025-09-03,2025-09-05,EUR,4500090459
3000,1900000893,2025,RE,2025-03-08,2025-03-11,AED,4500090571
2000,1900000894,2024,RE,2024-11-28,2024-11-29,AED,4500090587
2000,1900000895,2025,RE,2025-08-17,2025-08-19,EUR,4500091540
2000,1900000896,2025,RE,2024-04-15,2024-04-15,EUR,4500091322
1000,1900000897,2024,RE,2025-11-21,2025-11-23,USD,4500091907
1000,1900000898,2025,RE,2025-05-23,2025-05-27,AED,4500091550
2000,1900000899,2025,RE,2025-12-01,2025-12-06,EUR,4500090877
3000,1900000900,2025,RE,2025-06-23,2025-06-24,USD,4500091141
3000,1900000901,2025,RE,2024-10-11,2024-10-16,EUR,4500091298
3000,1900000902,2024,RE,2025-12-19,2025-12-20,AED,4500090492
3000,1900000903,2025,RE,2025-05-04,2025-05-04,EUR,4500090884
2000,1900000904,2025,RE,2024-09-04,2024-09-04,AED,4500091712
2000,1900000905,2024,RE,2024-01-05,2024-01-09,AED,4500090099
1000,1900000906,2024,RE,2025-02-11,2025-02-15,EUR,4500091061
1000,1900000907,2025,RE,2024-12-01,2024-12-06,EUR,4500090346
3000,1900000908,2025,RE,2024-06-05,2024-06-09,AED,4500090989
3000,1900000909,2024,RE,2024-02-20,2024-02-23,USD,4500090799
3000,1900000910,2024,RE,2025-10-12,2025-10-12,USD,4500090157
3000,1900000911,2025,RE,2025-10-13,2025-10-16,AED,4500090072
1000,1900000912,2025,RE,2025-11-02,2025-11-02,AED,4500091091
3000,1900000913,2025,RE,2024-04-30,2024-05-03,EUR,4500090307
1000,1900000914,2025,RE,2024-06-13,2024-06-14,EUR,4500091798
3000,1900000915,2024,RE,2024-05-20,2024-05-22,USD,4500090799
2000,1900000916,2024,RE,2025-03-15,2025-03-15,EUR,4500091743
3000,1900000917,2024,RE,2024-06-27,2024-06-30,AED,4500090188
2000,1900000918,2025,RE,2024-08-26,2024-08-31,AED,4500090646
2000,1900000919,2025,RE,2024-06-03,2024-06-03,AED,4500091384
1000,1900000920,2024,RE,2025-05-07,2025-05-09,AED,4500091216
3000,1900000921,2025,RE,2024-10-21,2024-10-22,EUR,4500091264
2000,1900000922,2025,RE,2024-12-03,2024-12-04,USD,4500091358
2000,1900000923,2025,RE,2025-12-01,2025-12-05,AED,4500090735
1000,1900000924,2025,RE,2024-07-05,2024-07-08,AED,4500090604
2000,1900000925,2025,RE,2025-10-03,2025-10-03,EUR,4500090455
3000,1900000926,2024,RE,2024-09-02,2024-09-04,USD,4500091193
1000,1900000927,2024,RE,2024-04-19,2024-04-19,EUR,4500091342
3000,1900000928,2025,RE,2025-02-18,2025-02-22,AED,4500090364
3000,1900000929,2024,RE,2024-05-09,2024-05-10,USD,4500090349
3000,1900000930,2024,RE,2024-09-12,2024-09-16,AED,4500091142
2000,1900000931,2025,RE,2025-08-12,2025-08-14,AED,4500091927
1000,1900000932,2024,RE,2025-06-23,2025-06-25,USD,4500090983
2000,1900000933,2024,RE,2024-08-18,2024-08-18,AED,4500091265
3000,1900000934,2025,RE,2025-06-12,2025-06-12,USD,4500090769
3000,1900000935,2024,RE,2025-10-01,2025-10-02,EUR,4500090138
2000,1900000936,2025,RE,2025-07-26,2025-07-27,USD,4500091463
3000,1900000937,2024,RE,2024-08-24,2024-08-28,AED,4500091331
3000,1900000938,2024,RE,2024-09-13,2024-09-17,AED,4500090912
2000,1900000939,2024,RE,2025-03-26,2025-03-29,USD,4500090641
3000,1900000940,2024,RE,2024-12-30,2025-01-01,EUR,4500091871
1000,1900000941,2024,RE,2024-04-13,2024-04-18,USD,4500091878
1000,1900000942,2025,RE,2024-02-29,2024-03-01,AED,4500091059
3000,1900000943,2025,RE,2024-06-18,2024-06-20,USD,4500091211
1000,1900000944,2025,RE,2025-03-12,2025-03-14,EUR,4500090143
2000,1900000945,2024,RE,2024-01-17,2024-01-20,EUR,4500091522
1000,1900000946,2025,RE,2025-12-15,2025-12-18,USD,4500091320
1000,1900000947,2025,RE,2024-03-11,2024-03-16,USD,4500091173
2000,1900000948,2025,RE,2024-12-11,2024-12-16,EUR,4500091972
1000,1900000949,2024,RE,2024-07-13,2024-07-15,AED,4500091487
3000,1900000950,2024,RE,2025-04-22,2025-04-22,USD,4500091275
2000,1900000951,2024,RE,2025-07-05,2025-07-09,AED,4500090056
2000,1900000952,2025,RE,2025-01-14,2025-01-18,AED,4500090587
3000,1900000953,2025,RE,2025-04-04,2025-04-09,EUR,4500090373
2000,1900000954,2025,RE,2024-09-06,2024-09-07,EUR,4500090552
3000,1900000955,2024,RE,2024-12-02,2024-12-03,AED,4500091572
2000,1900000956,2025,RE,2025-03-27,2025-03-31,AED,4500090787
3000,1900000957,2025,RE,2024-02-05,2024-02-09,USD,4500090325
2000,1900000958,2025,RE,2025-12-19,2025-12-21,AED,4500090642
2000,1900000959,2025,RE,2024-09-26,2024-09-28,AED,4500091105
1000,1900000960,2025,RE,2025-07-05,2025-07-05,EUR,4500091523
2000,1900000961,2025,RE,2024-09-23,2024-09-23,USD,4500090068
1000,1900000962,2025,RE,2024-11-29,2024-12-02,USD,4500091890
2000,1900000963,2024,RE,2025-02-07,2025-02-12,AED,4500090099
3000,1900000964,2025,RE,2024-01-25,2024-01-25,AED,4500090072
2000,1900000965,2025,RE,2024-12-23,2024-12-28,EUR,4500090620
1000,1900000966,2025,RE,2024-09-17,2024-09-19,EUR,4500090039
1000,1900000967,2024,RE,2024-02-11,2024-02-13,USD,4500091999
2000,1900000968,2025,RE,2024-09-14,2024-09-18,USD,4500090521
3000,1900000969,2025,RE,2025-03-27,2025-03-29,EUR,4500091498
3000,1900000970,2025,RE,2024-10-15,2024-10-18,AED,4500091189
1000,1900000971,2024,RE,2024-07-16,2024-07-20,EUR,4500090123
2000,1900000972,2025,RE,2024-04-24,2024-04-25,USD,4500090182
1000,1900000973,2024,RE,2025-11-04,2025-11-06,USD,4500090722
3000,1900000974,2024,RE,2024-09-03,2024-09-03,USD,4500091232
2000,1900000975,2024,RE,2024-03-13,2024-03-18,EUR,4500091589
1000,1900000976,2025,RE,2025-11-08,2025-11-11,EUR,4500091754
2000,1900000977,2025,RE,2024-08-22,2024-08-23,AED,4500091414
1000,1900000978,2024,RE,2024-06-15,2024-06-17,USD,4500090823
2000,1900000979,2025,RE,2024-10-11,2024-10-14,USD,4500090520
2000,1900000980,2025,RE,2024-07-03,2024-07-05,EUR,4500091243
1000,1900000981,2024,RE,2024-03-09,2024-03-09,USD,4500090466
1000,1900000982,2025,RE,2025-11-30,2025-12-05,EUR,4500090556
1000,1900000983,2025,RE,2025-08-11,2025-08-11,EUR,4500091532
3000,1900000984,2025,RE,2025-08-12,2025-08-14,AED,4500091989
2000,1900000985,2024,RE,2025-07-11,2025-07-13,AED,4500090787
3000,1900000986,2025,RE,2025-07-27,2025-08-01,AED,4500091319
1000,1900000987,2024,RE,2025-02-10,2025-02-15,EUR,4500091539
2000,1900000988,2025,RE,2024-07-29,2024-08-01,USD,4500091748
1000,1900000989,2024,RE,2024-04-24,2024-04-28,EUR,4500091754
1000,1900000990,2025,RE,2025-08-08,2025-08-11,USD,4500090259
2000,1900000991,2025,RE,2025-02-13,2025-02-13,AED,4500090870
1000,1900000992,2024,RE,2025-01-08,2025-01-09,AED,4500091231
3000,1900000993,2025,RE,2025-09-17,2025-09-18,EUR,4500091181
1000,1900000994,2025,RE,2025-03-06,2025-03-09,AED,4500091087
1000,1900000995,2025,RE,2024-08-05,2024-08-10,AED,4500091732
1000,1900000996,2025,RE,2024-10-11,2024-10-14,AED,4500090095
2000,1900000997,2024,RE,2025-04-06,2025-04-09,AED,4500090069
2000,1900000998,2025,RE,2025-12-14,2025-12-14,AED,4500091948
3000,1900000999,2025,RE,2025-09-27,2025-10-02,USD,4500090073
2000,1900001000,2024,RE,2025-10-07,2025-10-08,EUR,4500090270
2000,1900001001,2024,RE,2024-12-10,2024-12-15,USD,4500090551
3000,1900001002,2025,RE,2025-12-07,2025-12-09,EUR,4500090495
3000,1900001003,2025,RE,2024-12-15,2024-12-16,EUR,4500090054
2000,1900001004,2025,RE,2024-05-13,2024-05-17,USD,4500091901
1000,1900001005,2025,RE,2025-11-19,2025-11-23,AED,4500090796
3000,1900001006,2025,RE,2025-03-12,2025-03-15,EUR,4500091506
2000,1900001007,2025,RE,2024-07-10,2024-07-13,EUR,4500090063
1000,1900001008,2025,RE,2025-09-06,2025-09-08,USD,4500090353
1000,1900001009,2025,RE,2024-04-15,2024-04-18,EUR,4500091235
2000,1900001010,2024,RE,2025-05-17,2025-05-17,USD,4500090524
3000,1900001011,2024,RE,2024-07-16,2024-07-21,AED,4500091200
2000,1900001012,2024,RE,2025-09-13,2025-09-14,USD,4500091644
1000,1900001013,2024,RE,2025-05-02,2025-05-06,EUR,4500090714
3000,1900001014,2024,RE,2024-02-17,2024-02-17,AED,4500090109
3000,1900001015,2025,RE,2024-01-19,2024-01-20,USD,4500091689
3000,1900001016,2025,RE,2025-03-18,2025-03-22,AED,4500090364
2000,1900001017,2024,RE,2025-07-19,2025-07-19,AED,4500091276
3000,1900001018,2025,RE,2024-06-27,2024-07-01,EUR,4500090241
3000,1900001019,2024,RE,2024-04-19,2024-04-23,EUR,4500090506
3000,1900001020,2025,RE,2025-08-27,2025-08-29,AED,4500090890
2000,1900001021,2025,RE,2024-08-24,2024-08-28,AED,4500090056
2000,1900001022,2025,RE,2025-03-18,2025-03-23,AED,4500091234
1000,1900001023,2025,RE,2024-10-24,2024-10-25,USD,4500091175
1000,1900001024,2025,RE,2025-11-23,2025-11-28,AED,4500090731
2000,1900001025,2025,RE,2025-01-29,2025-01-30,EUR,4500091085
2000,1900001026,2025,RE,2024-02-24,2024-02-29,EUR,4500091290
3000,1900001027,2025,RE,2025-12-01,2025-12-01,USD,4500090972
1000,1900001028,2024,RE,2024-12-03,2024-12-05,USD,4500090324
3000,1900001029,2025,RE,2025-10-10,2025-10-12,USD,4500091765
1000,1900001030,2024,RE,2025-07-25,2025-07-30,EUR,4500090294
2000,1900001031,2025,RE,2025-08-06,2025-08-08,USD,4500091801
3000,1900001032,2025,RE,2025-03-22,2025-03-25,AED,4500091751
3000,1900001033,2025,RE,2025-09-23,2025-09-23,AED,4500091614
1000,1900001034,2025,RE,2024-06-18,2024-06-22,USD,4500091443
2000,1900001035,2025,RE,2024-10-15,2024-10-15,EUR,4500090374
2000,1900001036,2024,RE,2024-10-19,2024-10-19,EUR,4500090102
1000,1900001037,2024,RE,2024-03-11,2024-03-12,AED,4500091650
1000,1900001038,2024,RE,2024-07-03,2024-07-06,USD,4500090934
1000,1900001039,2024,RE,2025-01-01,2025-01-03,EUR,4500091270
1000,1900001040,2024,RE,2024-03-22,2024-03-22,USD,4500091848
3000,1900001041,2024,RE,2024-08-18,2024-08-18,AED,4500090756
3000,1900001042,2025,RE,2024-10-08,2024-10-12,USD,4500091360
1000,1900001043,2025,RE,2025-05-26,2025-05-27,AED,4500090849
2000,1900001044,2024,RE,2025-09-01,2025-09-04,USD,4500090928
2000,1900001045,2025,RE,2024-10-23,2024-10-27,EUR,4500090200
2000,1900001046,2025,RE,2024-06-12,2024-06-17,AED,4500091262
3000,1900001047,2024,RE,2025-06-20,2025-06-23,AED,4500090851
3000,1900001048,2024,RE,2025-10-27,2025-10-29,USD,4500090108
1000,1900001049,2025,RE,2024-02-12,2024-02-14,AED,4500090699
1000,1900001050,2025,RE,2024-02-03,2024-02-05,AED,4500091456
1000,1900001051,2024,RE,2024-03-12,2024-03-17,USD,4500091528
2000,1900001052,2025,RE,2025-05-08,2025-05-11,EUR,4500091700
3000,1900001053,2025,RE,2025-05-21,2025-05-24,EUR,4500091631
1000,1900001054,2025,RE,2024-12-06,2024-12-09,USD,4500091869
1000,1900001055,2024,RE,2025-02-14,2025-02-16,EUR,4500090346
1000,1900001056,2025,RE,2025-05-18,2025-05-20,AED,4500090849
1000,1900001057,2024,RE,2024-04-28,2024-04-30,USD,4500091591
1000,1900001058,2024,RE,2025-07-23,2025-07-23,USD,4500090113
2000,1900001059,2024,RE,2025-07-24,2025-07-25,EUR,4500091864
1000,1900001060,2024,RE,2024-10-04,2024-10-09,USD,4500091817
1000,1900001061,2025,RE,2024-09-23,2024-09-24,EUR,4500091278
1000,1900001062,2024,RE,2024-12-20,2024-12-20,USD,4500091103
2000,1900001063,2025,RE,2025-03-01,2025-03-02,USD,4500091370
2000,1900001064,2024,RE,2024-09-17,2024-09-17,EUR,4500090088
2000,1900001065,2024,RE,2024-01-06,2024-01-09,USD,4500090603
1000,1900001066,2024,RE,2025-03-15,2025-03-19,EUR,4500091338
1000,1900001067,2025,RE,2024-06-06,2024-06-11,EUR,4500090737
1000,1900001068,2025,RE,2025-11-30,2025-11-30,USD,4500090841
1000,1900001069,2024,RE,2024-02-08,2024-02-08,AED,4500091604
1000,1900001070,2025,RE,2024-04-23,2024-04-28,AED,4500090712
2000,1900001071,2024,RE,2024-09-13,2024-09-14,EUR,4500091868
2000,1900001072,2024,RE,2025-10-02,2025-10-05,USD,4500090894
3000,1900001073,2024,RE,2025-12-05,2025-12-05,USD,4500090876
3000,1900001074,2025,RE,2024-11-02,2024-11-06,AED,4500091133
1000,1900001075,2025,RE,2024-06-03,2024-06-03,AED,4500091946
1000,1900001076,2024,RE,2024-08-15,2024-08-16,AED,4500091274
3000,1900001077,2025,RE,2025-08-13,2025-08-13,USD,4500091833
2000,1900001078,2024,RE,2025-04-21,2025-04-26,AED,4500091655
3000,1900001079,2025,RE,2024-06-18,2024-06-20,AED,4500090361
1000,1900001080,2024,RE,2024-01-15,2024-01-19,AED,4500090442
1000,1900001081,2025,RE,2024-03-12,2024-03-15,EUR,4500091687
1000,1900001082,2025,RE,2024-09-03,2024-09-06,EUR,4500091505
3000,1900001083,2025,RE,2024-04-18,2024-04-20,EUR,4500091812
3000,1900001084,2025,RE,2024-06-04,2024-06-08,USD,4500090892
2000,1900001085,2024,RE,2024-07-16,2024-07-19,USD,4500091760
2000,1900001086,2025,RE,2025-01-19,2025-01-23,USD,4500090498
3000,1900001087,2024,RE,2024-10-09,2024-10-11,AED,4500090364
3000,1900001088,2024,RE,2025-09-19,2025-09-22,EUR,4500091258
2000,1900001089,2025,RE,2025-07-02,2025-07-03,AED,4500091019
3000,1900001090,2024,RE,2024-02-22,2024-02-27,USD,4500091545
3000,1900001091,2025,RE,2024-09-03,2024-09-08,EUR,4500090588
1000,1900001092,2024,RE,2025-03-16,2025-03-16,AED,4500091549
2000,1900001093,2025,RE,2025-12-14,2025-12-19,USD,4500091451
1000,1900001094,2025,RE,2025-11-30,2025-12-01,AED,4500091157
3000,1900001095,2024,RE,2025-09-17,2025-09-17,USD,4500090578
2000,1900001096,2024,RE,2024-05-09,2024-05-12,USD,4500090538
2000,1900001097,2024,RE,2024-04-26,2024-04-27,USD,4500090871
2000,1900001098,2025,RE,2024-02-21,2024-02-21,AED,4500091886
1000,1900001099,2024,RE,2024-08-02,2024-08-06,EUR,4500090672
3000,1900001100,2024,RE,2024-01-25,2024-01-28,AED,4500090368
3000,1900001101,2024,RE,2024-06-16,2024-06-18,EUR,4500091605
1000,1900001102,2024,RE,2025-07-03,2025-07-05,EUR,4500091420
2000,1900001103,2024,RE,2024-09-15,2024-09-18,AED,4500090386
1000,1900001104,2025,RE,2024-12-19,2024-12-19,AED,4500091377
2000,1900001105,2025,RE,2024-09-30,2024-09-30,USD,4500091796
2000,1900001106,2024,RE,2025-12-31,2025-12-31,EUR,4500090208
1000,1900001107,2025,RE,2024-03-10,2024-03-12,EUR,4500091505
1000,1900001108,2025,RE,2025-04-29,2025-05-02,AED,4500091642
2000,1900001109,2025,RE,2025-08-20,2025-08-22,EUR,4500091150
1000,1900001110,2025,RE,2025-11-21,2025-11-23,EUR,4500091161
2000,1900001111,2025,RE,2025-01-10,2025-01-13,USD,4500090768
2000,1900001112,2024,RE,2024-05-06,2024-05-07,USD,4500090304
3000,1900001113,2025,RE,2025-07-02,2025-07-02,EUR,4500090280
3000,1900001114,2024,RE,2024-10-31,2024-11-01,EUR,4500091781
1000,1900001115,2025,RE,2024-11-18,2024-11-23,EUR,4500090172
3000,1900001116,2024,RE,2024-04-30,2024-05-02,USD,4500091950
1000,1900001117,2024,RE,2025-12-19,2025-12-20,AED,4500091876
2000,1900001118,2025,RE,2025-08-15,2025-08-18,USD,4500090916
1000,1900001119,2024,RE,2024-10-14,2024-10-15,EUR,4500090263
2000,1900001120,2025,RE,2025-10-08,2025-10-09,USD,4500091416
1000,1900001121,2024,RE,2025-12-31,2026-01-05,USD,4500090664
2000,1900001122,2025,RE,2024-09-08,2024-09-12,AED,4500090049
2000,1900001123,2024,RE,2025-05-26,2025-05-31,EUR,4500090620
2000,1900001124,2024,RE,2025-06-02,2025-06-06,USD,4500090950
3000,1900001125,2024,RE,2025-05-12,2025-05-13,USD,4500090059
3000,1900001126,2025,RE,2024-02-14,2024-02-18,AED,4500090388
2000,1900001127,2024,RE,2025-05-26,2025-05-26,AED,4500090347
2000,1900001128,2025,RE,2024-05-21,2024-05-21,EUR,4500091418
1000,1900001129,2024,RE,2025-12-03,2025-12-04,EUR,4500090826
1000,1900001130,2025,RE,2024-01-12,2024-01-12,AED,4500091940
2000,1900001131,2025,RE,2024-03-05,2024-03-06,USD,4500091394
3000,1900001132,2024,RE,2025-11-19,2025-11-21,AED,4500090756
2000,1900001133,2025,RE,2025-11-24,2025-11-27,AED,4500091118
1000,1900001134,2025,RE,2025-09-16,2025-09-19,USD,4500090206
2000,1900001135,2025,RE,2025-06-27,2025-06-28,EUR,4500090084
2000,1900001136,2025,RE,2025-04-11,2025-04-15,USD,4500090527
2000,1900001137,2024,RE,2025-03-02,2025-03-04,EUR,4500090505
2000,1900001138,2024,RE,2024-04-12,2024-04-13,EUR,4500090792
2000,1900001139,2024,RE,2025-02-28,2025-03-02,USD,4500091440
2000,1900001140,2025,RE,2025-06-27,2025-06-30,EUR,4500090455
1000,1900001141,2025,RE,2025-10-19,2025-10-21,USD,4500090911
1000,1900001142,2024,RE,2025-06-22,2025-06-26,USD,4500090259
2000,1900001143,2025,RE,2024-11-23,2024-11-26,EUR,4500090683
3000,1900001144,2025,RE,2024-10-17,2024-10-18,EUR,4500090410
1000,1900001145,2024,RE,2024-05-20,2024-05-22,EUR,4500091369
3000,1900001146,2025,RE,2025-05-23,2025-05-27,AED,4500090402
2000,1900001147,2025,RE,2025-09-23,2025-09-26,USD,4500090720
2000,1900001148,2025,RE,2025-03-27,2025-03-31,AED,4500090632
3000,1900001149,2024,RE,2025-03-28,2025-03-31,AED,4500091564
